category,age,"Chromium, Cr (µg)","Copper, Cu (mg)","Fluoride, F (µg)","Iodine, I (µg)","Iron, Fe (mg)","Manganese, Mn (mg)","Molybdenum, Mo (µg)","Selenium, Se (µg)","Zinc, Zn (mg)","Magnesium, Mg (mg)","Calcium, Ca (mg)","Potassium, K (mg)","Phosphorus, P (mg)"
baby,0-0.5,0.2,0.200,10,110,0.27,0.003,2,15,2,30,200,400,100
baby,0.6-1,5.5,0.220,500,130,11,0.6,3,20,3,75,260,860,275
child,1-3,11,0.340,700,90,7,1.2,17,20,3,80,700,2000,460
child,4-8,15,0.440,1000,90,10,1.5,22,30,5,130,1000,2300,500
male,9-13,25,0.700,2000,120,8,1.9,34,40,8,240,1300,2500,1250
male,14-18,35,0.890,3000,150,11,2.2,43,55,11,410,1300,3000,1250
male,19-30,35,0.900,4000,150,8,2.3,45,55,11,400,1000,3400,700
male,31-50,35,0.900,4000,150,8,2.3,45,55,11,420,1000,3400,700
male,51+,30,0.900,4000,150,8,2.3,45,55,11,420,1000,3400,700
female,9-13,21,0.700,2000,120,8,1.6,34,40,8,240,1300,2300,1250
female,14-18,24,0.890,3000,150,15,1.6,43,55,9,360,1300,2300,1250
female,19-30,25,0.900,3000,150,18,1.8,45,55,8,310,1000,2600,700
female,31-50,25,0.900,3000,150,18,1.8,45,55,8,320,1000,2600,700
female,51+,20,0.900,3000,150,8,1.8,45,55,8,320,1200,2600,700
femalep,14-18,29,1.000,3000,220,27,2.0,50,60,12,400,1300,2600,1250
femalep,19-30,30,1.000,3000,220,27,2.0,50,60,11,350,1000,2900,700
femalep,31-50,30,1.000,3000,220,27,2.0,50,60,11,360,1000,2900,700
femalel,14-18,44,1.300,3000,290,109,2.6,50,70,13,360,1300,2500,1250
femalel,19-30,45,1.300,3000,290,9,2.6,50,70,12,310,1000,2800,700
femalel,31-50,45,1.300,3000,290,9,2.6,50,70,12,320,1000,2800,700